DATE,CO2 TARGET SPEC(%),CO2 NAG1 ACTUAL (%),CO2 NAG2 ACTUAL (%),CO2 UGHE GP ACTUAL (%),METHANE TARGET RANGE(%),METHANE NAG1 ACTUAL (%),METHANE NAG2 ACTUAL (%),METHANE UGHE GP ACTUAL(%),HYDROCARBON TARGET SPEC (oC),HYDOCANAG1 ACTUAL AVE.(oC),HYDOCARBONNAG2 ACTUAL AVE.(oC),HYDOCARBON UGHE GP ACTUAL AVE.(oC),WATER TARGET SPEC (lb/mmscf),WATER NAG1 ACTUAL AVE. (lb/mmscf),WATER NAG2 ACTUAL AVE. (lb/mmscf),WATER UGHE GP ACTUAL AVE. (lb/mmscf),ENERGY CONTENT TARGET RANGE (Btu/ft3),"ENERGY CONTENT 
 NAG1 ACTUAL (Btu/ft3)","ENERGY CONTENT 
 NAG2 ACTUAL (Btu/ft3)",ENERGY CONTENT UGHE GP ACTUAL (Btu/ft3),,,,
01/01/2023,4,7.67,6.77,2.33,95,84.86,85.25,86.45,10,7.77,7.60,6.30,7,6.50,6.13,13.00,1150,"913.81","931.31",1008.37,,,,
02/01/2023,4,7.48,6.61,2.40,95,84.50,85.14,86.14,10,7.23,6.67,6.30,7,6.37,5.80,13.87,1150,"934.61","930.72",1005.99,,,,
03/01/2023,4,7.57,6.59,2.98,95,85.20,85.56,85.33,10,7.97,7.27,6.87,7,6.63,6.03,13.87,1150,"916.30","928.89",997.67,,,,
04/01/2023,4,7.50,6.55,2.99,95,85.26,85.49,86.79,10,8.90,7.47,6.73,7,6.77,5.87,13.5,1150,"915.18","931.29",994.19,,,,
05/01/2023,4,7.60,7.49,3.04,95,85.23,85.08,85.65,10,7.77,7.63,7.40,7,6.57,6.27,13.7,1150,"913.84","919.72",995.40,,,,
06/01/2023,4,7.50,5.57,3.04,95,85.18,85.90,86.43,10,9.03,8.07,6.73,7,6.77,6.03,14.03,1150,"915.93","953.30",998.57,,,,
07/01/2023,4,7.02,5.09,3.06,95,85.67,85.90,86.43,10,8.37,7.60,7.00,7,6.70,6.37,13.53,1150,"919.85","956.85",999.09,,,,
08/01/2023,4,7.00,5.83,3.06,95,85.80,85.92,85.84,10,8.73,7.53,6.37,7,6.80,6.33,13.97,1150,"920.25","939.96",990.72,,,,
09/01/2023,4,7.12,5.04,3.08,95,85.05,85.64,86.41,10,8.73,7.97,6.63,7,6.73,6.20,13.37,1150,"931.29","963.88",993.45,,,,
10/01/2023,4,7.16,4.98,2.47,95,85.63,85.83,86.23,10,7.23,7.77,5.20,7,6.73,6.40,13.63,1150,"919.24","967.08",1006.93,,,,
11/01/2023,4,7.12,4.97,2.40,95,85.68,85.58,86.29,10,6.13,8.43,6.13,7,6.50,6.50,13.83,1150,"919.41","957.80",1007.84,,,,
12/01/2023,4,7.17,,2.42,95,85.53,,86.62,10,6.60,,5.80,7,6.73,,13.93,1150,,,1009.43,,,,
13/01/2023,4,7.20,5.09,2.44,95,85.62,86.04,86.25,10,6.50,8.33,5.57,7,6.60,6.27,13.93,1150,"916.28","958.52",1009.32,,,,
14/01/2023,4,8.68,5.35,2.61,95,84.68,85.75,86.72,10,7.40,7.53,5.97,7,6.73,6.17,13.97,1150,"899.03","953.62",1005.09,,,,
